,Agency Name,Agency Logo,Agency Type
217,DREAM HOMES,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/12870-logo-20211011154413.svg,Estate Agency
218,PRIME PRO INVESTMENT,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/17143-logo-20210817160322.svg,Estate Agency
219,KAD Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/10597-logo-20211011170143.svg,Estate Agency
220,Your Cyprus Properties,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/17947-logo-20211006170454.svg,Estate Agency
221,Cyprosun Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/3356-logo-20211006160439.svg,Estate Agency
222,GY HEDEF EMLAK,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/hedef-estate.svg,Estate Agency
223,EMLAK KONUT,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/27738-logo-20220303101629.jpeg,Estate Agency
224,End Point İnvestment Ltd ,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/39879-logo-20220324133730.jpeg,Estate Agency
225,Emlak Dünyası,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/emlak-dunyasi.svg,Estate Agency
226,Brote Homes,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/15905-logo-20210622170305.svg,Estate Agency
227,Elite Door Properties,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/12285-logo-20211008160637.svg,Estate Agency
228,Century 21 Island,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/9002-logo-20210704104437.svg,Estate Agency
229,ENS ESTATE,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/7817-logo-20220228150727.jpeg,Estate Agency
230,Sun Republic,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/sun-republic.svg,Estate Agency
231,EBRU EMLAK,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/13468-logo-20200826174209.jpeg,Estate Agency
232,T&B Property,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/15177-logo-20210118122321.jpeg,Estate Agency
233,Alpcans Construction,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/20776-logo-20220127000315.jpeg,Estate Agency
234,REAL NORTH HILLS,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/9096-logo-20181024163742.jpeg,Estate Agency
235,Adlan Company Tourism & Investment,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/18015-logo-20211108162230.svg,Estate Agency
236,Piro Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/piro-emlak.svg,Estate Agency
237,Invest Dom,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/13506-logo-20211109121541.svg,Estate Agency
238,Turgay Ersalıcı Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/225-logo-20210623142827.svg,Estate Agency
239,Stallion Gayrimenkul Yatırım Danışmanlığı,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/15983-logo-20211011162911.svg,Estate Agency
240,Diray Emlak (Alım - Satım),https://d2vho998xd1yud.cloudfront.net/user-logo-svg/diray-emlak.svg,Estate Agency
241,New Door Real Estate,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/18754-logo-20211226170214.jpeg,Estate Agency
242,"MHM Properties, Investment & Estate",https://d2vho998xd1yud.cloudfront.net/user-logo-svg/mhm-estate.svg,Estate Agency
243,RE/MAX Golden,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/remax-golden.svg,Estate Agency
244,ASG Estates,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/11609-logo-20200120162759.jpeg,Estate Agency
245,Onray Real Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/5264-logo-20211011143549.svg,Estate Agency
246,Premium Realty,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/18590-logo-20211123101316.svg,Estate Agency
247,FLZ Gayrimenkul,,Estate Agency
248,Blue Coast Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/122-logo-20211111120113.svg,Estate Agency
249,Blue Coast Emlak,none,Estate Agency
