,Agency Name,Agency Logo,Agency Type
50,APHRODITE BROTHERS ESTATE  & RESTORATION,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/aphrodite-logo-small.jpg,Estate Agency
51,Elif Ağazade,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/13326-logo-20211011165305.svg,Estate Agency
52,Kıbrıs Emlak Sitesi,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/kibris-emlak-sitesi.svg,Estate Agency
53,Monolith Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/monolith-estate.svg,Estate Agency
54,WOTMAX ESTATE,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/wotmax-estate.svg,Estate Agency
55,GÖKEN EMLAK,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/goken-emlak.png,Estate Agency
56,Kumsal Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/kumsal-emlak.svg,Estate Agency
57,Time Gayrimenkul,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/time-gayrimenkul.svg,Estate Agency
58,Phenom Properties & Estate Ltd.,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/7157-logo-20180405110250.png,Estate Agency
59,BESTATE PROPERTY,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/bestate-properties.svg,Estate Agency
60,Fersun Köksoy Yatırım ve Gayrimenkul Danışmanlığı,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/8311-logo-20200516145414.jpeg,Estate Agency
61,New England Estate,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/12656-logo-20200701162913.jpeg,Estate Agency
62,Eser Cengiz Real Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/584-logo-20211007110953.svg,Estate Agency
63,M.Y.Y EMLAK ESTATE,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/13451-logo-20210326123849.png,Estate Agency
64,V and M Properties,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/17088-logo-20210721170139.jpeg,Estate Agency
65,Harun Doktoroğlu,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/doctor-house-real-estate.svg,Estate Agency
66,CARIA ESTATES,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/12504-logo-20211013162953.svg,Estate Agency
67,C & C Real Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/c-c-real-estate.svg,Estate Agency
68,King Real Estates,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/5239-logo-20211013112941.svg,Estate Agency
69,DIAMOND ESTATE,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/diamond-estate.svg,Estate Agency
70,Gürkan Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/gurkan-emlak.svg,Estate Agency
71,HOME & BUSİNESS Real Estate since 2001,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/hb-home-business.svg,Estate Agency
72,ALCONS CONSTRUCTION LTD,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/19032-logo-20211217113021.svg,Estate Agency
